season,week,position,game_id,source
2026,1,1,2026_01_NE_SEA,CBS app screenshot 2026-09-09
2026,1,2,2026_01_SF_LA,CBS app screenshot 2026-09-09
2026,1,3,2026_01_TB_CIN,CBS app screenshot 2026-09-09
2026,1,4,2026_01_BUF_HOU,CBS app screenshot 2026-09-09
2026,1,5,2026_01_BAL_IND,CBS app screenshot 2026-09-09
2026,1,6,2026_01_CHI_CAR,CBS app screenshot 2026-09-09
2026,1,7,2026_01_NO_DET,CBS app screenshot 2026-09-09
2026,1,8,2026_01_CLE_JAX,CBS app screenshot 2026-09-09
2026,1,9,2026_01_ATL_PIT,CBS app screenshot 2026-09-09
2026,1,10,2026_01_NYJ_TEN,CBS app screenshot 2026-09-09
2026,1,11,2026_01_GB_MIN,CBS app screenshot 2026-09-09
2026,1,12,2026_01_WAS_PHI,CBS app screenshot 2026-09-09
2026,1,13,2026_01_MIA_LV,CBS app screenshot 2026-09-09
2026,1,14,2026_01_ARI_LAC,CBS app screenshot 2026-09-09
2026,1,15,2026_01_DAL_NYG,CBS app screenshot 2026-09-09
2026,1,16,2026_01_DEN_KC,CBS app screenshot 2026-09-09
